day_idx,date,quarter,rev_single_rt,rev_single_da,rev_shandong_twosettle,oracle_rt,capture_single_rt,rt_mean,da_mean,da_rt_spread_mean
1664,2025-05-23,2,97964.21581749129,82284.65967071362,82284.65967071362,143320.38317113946,68.35330303332486,350.7979166666666,268.94166666666666,-81.85625
1665,2025-05-24,2,133103.86716523033,124309.96178840096,124309.96178840096,157707.12288167415,84.3994010753063,258.1927083333333,254.8239583333333,-3.3687499999999946
1666,2025-05-25,2,119909.53857433225,107159.69139937492,107159.69139937492,163382.12220033928,73.39208045498337,284.34999999999997,257.01041666666663,-27.339583333333337
1667,2025-05-26,2,138928.3476586002,128299.34143353956,128299.34143353956,149896.22090380001,92.68302217422895,312.43125000000003,287.40625,-25.025000000000006
1668,2025-05-27,2,141435.08575158005,121996.67471786446,121996.67471786446,158681.744110875,89.13129014561103,294.903125,278.42083333333335,-16.482291666666665
1669,2025-05-28,2,133561.72153131446,118781.43382545588,118781.43382545588,146910.6440076,90.91357704783121,290.12395833333335,280.4927083333334,-9.631250000000001
1670,2025-05-29,2,124615.44603585539,115161.12506741648,115161.12506741648,146026.01890271512,85.33783703223204,258.90208333333334,281.934375,23.032291666666666
1671,2025-05-30,2,96770.12129705281,84861.96064377148,84861.96064377148,135414.37993117253,71.46221940848413,243.14166666666665,274.4864583333333,31.344791666666662
1672,2025-05-31,2,66747.06667138399,46579.674716792455,46579.674716792455,119111.26945021606,56.03757476473014,262.553125,304.67604166666666,42.122916666666676
1673,2025-06-01,2,105170.97023856331,72918.88617057659,72918.88617057659,141881.42766629157,74.1259599430645,253.07083333333333,278.0291666666667,24.95833333333334
1674,2025-06-02,2,120124.40408997789,105505.7273887815,105505.7273887815,155079.08809448296,77.4600918576406,238.64999999999998,231.50833333333335,-7.141666666666673
1675,2025-06-03,2,136559.3252410931,122008.07938229789,122008.07938229789,158687.38292738932,86.05556580612247,242.584375,230.82083333333335,-11.763541666666669
1676,2025-06-04,2,128967.74802116581,127294.42535090545,127294.42535090545,155500.41680379937,82.93723622869076,256.809375,262.9875,6.178125000000001
1677,2025-06-05,2,78778.23932950459,67805.04395425002,67805.04395425002,145127.22609528672,54.28219187334351,221.8947916666667,221.865625,-0.02916666666666738
1678,2025-06-06,2,122061.02271712763,121657.19195669652,121657.19195669652,141704.87912660002,86.13748762177593,311.82916666666665,269.08125,-42.747916666666676
1679,2025-06-07,2,89462.85121646148,105479.59777230633,105479.59777230633,125805.9482846,71.11178162583963,292.75416666666666,301.6645833333333,8.910416666666668
1680,2025-06-08,2,86528.48973788341,85287.88139184989,85287.88139184989,123684.52662585002,69.9590256747597,231.6229166666667,294.50624999999997,62.88333333333335
1681,2025-06-09,2,87411.6296120059,87747.56806865078,87747.56806865078,128544.82794144645,68.0008919937431,235.39583333333334,280.953125,45.557291666666664
1682,2025-06-10,2,116239.25114285547,111783.11046133656,111783.11046133656,139554.2254410166,83.29325090338068,250.76249999999996,266.61041666666665,15.847916666666663
1683,2025-06-11,2,115748.23864626647,99738.07108563297,99738.07108563297,150172.99131389277,77.07660187998027,276.15729166666665,238.41666666666666,-37.740625
