day_idx,date,quarter,rev_single_rt,rev_single_da,rev_shandong_twosettle,oracle_rt,capture_single_rt,rt_mean,da_mean,da_rt_spread_mean
1629,2025-04-18,2,110050.78946836828,96194.97540695162,96194.97540695162,143196.49639162823,76.85299029062155,267.6302083333333,221.96875,-45.661458333333336
1630,2025-04-19,2,124315.18567484031,154616.74116790027,154616.74116790027,135291.8781997938,91.8866581859825,252.12187499999996,296.890625,44.76875000000001
1631,2025-04-20,2,118891.01940569622,107903.08830708127,107903.08830708127,134110.1645065,88.65175868152323,253.1458333333333,229.1541666666667,-23.99166666666666
1632,2025-04-21,2,123499.71588886266,117108.19119367871,117108.19119367871,249405.54914848457,49.51762954373426,381.0416666666667,233.94375,-147.09791666666666
1633,2025-04-22,2,93883.68173953304,85079.09411865818,85079.09411865818,154243.6802084628,60.867117286522046,190.79791666666668,206.15312500000002,15.355208333333332
1634,2025-04-23,2,115023.98049888584,108079.10977143775,108079.10977143775,132634.88233,86.72226979679625,232.615625,234.91458333333333,2.2989583333333354
1635,2025-04-24,2,56412.74901599031,73519.0105854095,73519.0105854095,209183.93356200002,26.968012339853114,169.47187499999998,174.7635416666667,5.291666666666665
1636,2025-04-25,2,134897.6962608559,137842.9115194793,137842.9115194793,147539.27953600002,91.431716818124,263.0125,270.30625000000003,7.293749999999998
1637,2025-04-26,2,86877.02902854957,81885.44448056813,81885.44448056813,125543.2913484,69.2008534231063,188.3260416666667,166.76041666666666,-21.565625
1638,2025-04-27,2,100648.25353516285,118771.80073768842,118771.80073768842,150790.9303451025,66.74688809520418,278.321875,281.45937499999997,3.1375000000000015
1639,2025-04-28,2,131867.42476937914,127368.66184979973,127368.66184979973,152484.34646925,86.47931923685788,276.0125,272.57708333333335,-3.435416666666665
1640,2025-04-29,2,68820.18440155897,60792.40593873618,60792.40593873618,131505.64766020724,52.33249341456497,202.7875,169.63750000000002,-33.15
1641,2025-04-30,2,69312.64742526088,83454.70338778118,83454.70338778118,162254.1346569736,42.71857082212225,113.63229166666667,161.33541666666667,47.703125
1642,2025-05-01,2,189543.72375219772,235509.60553186465,235509.60553186465,208789.19649002503,90.78234263967447,268.921875,342.3822916666666,73.46041666666669
1643,2025-05-02,2,132204.4845529061,120351.67710680615,120351.67710680615,146826.28947374597,90.04142584189299,218.9083333333334,234.16562499999998,15.257291666666669
1644,2025-05-03,2,133995.31277193845,142748.58796193847,142748.58796193847,153362.689878,87.37151968221978,236.2125,257.925,21.71249999999999
1645,2025-05-04,2,132072.7762049858,131352.6059839802,131352.6059839802,145800.176878,90.58478462306616,250.75,248.2229166666667,-2.5270833333333282
1646,2025-05-05,2,108898.72683193845,137997.13497193842,137997.13497193842,147260.98121,73.9494779521023,325.3489583333333,270.16562500000003,-55.18333333333334
1647,2025-05-06,2,99512.06411537578,117799.99788367556,117799.99788367556,148741.98954501987,66.90246945046837,304.6010416666666,295.6875,-8.91354166666666
1648,2025-05-07,2,69070.15702572573,67380.63966516074,67380.63966516074,124961.237414,55.27326589836367,304.39270833333336,316.17187500000006,11.779166666666669
1649,2025-05-08,2,13573.373957216183,51892.37229932855,51892.37229932855,97138.33573307373,13.973241207790954,299.7375,336.3072916666667,36.569791666666674
1650,2025-05-09,2,25756.792238958573,65928.7014860177,65928.7014860177,68593.48441596048,37.54991083812827,340.63125,353.69583333333327,13.064583333333331
1651,2025-05-10,2,114667.61759195318,115814.7816213882,115814.7816213882,147155.899703625,77.92254189121613,207.5822916666667,239.0197916666667,31.437500000000004
1652,2025-05-11,2,104782.4070034015,109073.60425820069,109073.60425820069,130865.3345894,80.06887945701153,180.72083333333333,221.3479166666667,40.62708333333333
1653,2025-05-12,2,75089.71986364921,72956.04786427428,72956.04786427428,110346.98621466562,68.04872741841085,159.628125,162.48645833333333,2.8583333333333307
1654,2025-05-13,2,38134.54683496047,34193.72686940551,34193.72686940551,145947.13471462906,26.129013707274957,118.94583333333333,114.62291666666665,-4.322916666666666
1655,2025-05-14,2,56365.657567382725,85268.74079243913,85268.74079243913,179884.70110745096,31.33432538752347,410.1854166666667,193.21145833333333,-216.97395833333334
1656,2025-05-15,2,108836.42754193844,126139.87418193844,126139.87418193844,138782.098152,78.42252638574192,286.1697916666667,289.98125000000005,3.811458333333325
1657,2025-05-16,2,114538.79856193846,115591.43983193845,115591.43983193845,146127.49062994999,78.38278620139585,266.70729166666666,244.11041666666665,-22.596874999999994
1658,2025-05-17,2,70889.74675575524,87871.80734839884,87871.80734839884,145788.27592,48.62513553192395,186.95416666666665,191.13333333333333,4.179166666666673
1659,2025-05-18,2,139003.73278193845,107874.51543193846,107874.51543193846,150781.86906020003,92.18862562742267,258.24375000000003,241.9395833333333,-16.30416666666667
1660,2025-05-19,2,140089.03903518815,102162.65575051965,102162.65575051965,198666.43712189997,70.51469843858465,310.32708333333335,205.78125,-104.54583333333333
1661,2025-05-20,2,146916.2203961326,110521.67402925582,110521.67402925582,182741.4457389344,80.39567586983965,274.1802083333334,227.2854166666667,-46.89479166666666
1662,2025-05-21,2,109605.76031513124,119873.23336905343,119873.23336905343,138978.1962536,78.8654359243003,317.35,293.50416666666666,-23.845833333333335
1663,2025-05-22,2,87504.32420836514,68620.96530307052,68620.96530307052,123488.22136820825,70.8604620253223,270.0479166666667,292.94166666666666,22.89375
1664,2025-05-23,2,70700.50266778539,92835.74230089913,92835.74230089913,143320.38317113946,49.33038909291893,350.7979166666666,268.94166666666666,-81.85625
1665,2025-05-24,2,128601.76546703065,121828.90764142509,121828.90764142509,157707.12288167415,81.5446779556806,258.1927083333333,254.8239583333333,-3.3687499999999946
1666,2025-05-25,2,123781.4567106082,119077.99797243488,119077.99797243488,163382.12220033928,75.76193468635894,284.34999999999997,257.01041666666663,-27.339583333333337
1667,2025-05-26,2,139291.22982300833,125895.04816979762,125895.04816979762,149896.22090380001,92.92511110897337,312.43125000000003,287.40625,-25.025000000000006
1668,2025-05-27,2,146263.40104157268,129307.68582163486,129307.68582163486,158681.744110875,92.17405685897597,294.903125,278.42083333333335,-16.482291666666665
1669,2025-05-28,2,130522.35143830821,129362.6727023706,129362.6727023706,146910.6440076,88.84472076206814,290.12395833333335,280.4927083333334,-9.631250000000001
1670,2025-05-29,2,139108.17031620006,130379.63145442816,130379.63145442816,146026.01890271512,95.26259180487291,258.90208333333334,281.934375,23.032291666666666
1671,2025-05-30,2,111464.44831664489,108346.49769520608,108346.49769520608,135414.37993117253,82.31359798959258,243.14166666666665,274.4864583333333,31.344791666666662
1672,2025-05-31,2,56571.70211096237,47083.19561727416,47083.19561727416,119111.26945021606,47.49483602356129,262.553125,304.67604166666666,42.122916666666676
1673,2025-06-01,2,127789.27145502689,121828.66109493835,121828.66109493835,141881.42766629157,90.06765265682992,253.07083333333333,278.0291666666667,24.95833333333334
1674,2025-06-02,2,117499.62510432489,115913.89445110045,115913.89445110045,155079.08809448296,75.76754967293687,238.64999999999998,231.50833333333335,-7.141666666666673
1675,2025-06-03,2,125850.81686070834,118237.49307112892,118237.49307112892,158687.38292738932,79.30738697625,242.584375,230.82083333333335,-11.763541666666669
1676,2025-06-04,2,130844.97274932961,130867.92522092021,130867.92522092021,155500.41680379937,84.14445146756202,256.809375,262.9875,6.178125000000001
1677,2025-06-05,2,89754.57167105618,85411.02487394224,85411.02487394224,145127.22609528672,61.84544009138967,221.8947916666667,221.865625,-0.02916666666666738
1678,2025-06-06,2,76641.81481279751,113490.4440023959,113490.4440023959,141704.87912660002,54.0855158165198,311.82916666666665,269.08125,-42.747916666666676
1679,2025-06-07,2,93219.99716599345,117903.56380451778,117903.56380451778,125805.9482846,74.09824291861769,292.75416666666666,301.6645833333333,8.910416666666668
1680,2025-06-08,2,92075.52188693054,122260.16291225783,122260.16291225783,123684.52662585002,74.44384871638971,231.6229166666667,294.50624999999997,62.88333333333335
1681,2025-06-09,2,94375.58344905345,99792.20807926953,99792.20807926953,128544.82794144645,73.41842138685078,235.39583333333334,280.953125,45.557291666666664
