day_idx,variant,status,formulation,objective,actual_revenue,revenue_dam,revenue_dev,p_dam_mean,p_dam_std,p_dam_abs_max,K_used,solve_time,scenario_method
1897,A2_regime_profile,optimal,two_stage,154146.17058859795,171634.32427777964,161126.47213797708,13853.301677923897,1.270243224353946,104.53178527647206,200.0,8,0.4735727310180664,regime_profile
1897,A3_bootstrap_weighted,optimal,two_stage,160921.9056418566,150382.30604760064,153045.87681147252,349.99999999996794,-0.07899881229526311,95.01242793666862,180.0,200,92.68845176696777,bootstrap_weighted
1897,A4_regime_mean_K,optimal,two_stage,154726.75356990125,153014.76758546138,152790.70964489234,3548.396758800043,1.3118966868539486,102.98604442434517,200.0,200,77.7811529636383,regime_mean_K
1897,A5_bootstrap_RT_only,optimal,rt_only,159750.51155532902,276587.6859838094,0.0,280024.0273372404,-0.4379448631460532,117.71837549566337,200.0,200,0.03852534294128418,bootstrap
1897,A6_profile_RT_only,optimal,rt_only,153227.08968138642,278931.6283838094,0.0,282367.9697372404,-0.4379448631460529,117.71837549566337,200.0,8,0.05433177947998047,regime_profile
1898,A1_bootstrap_uniform,optimal,two_stage,184523.4383181042,107164.57598700411,169673.7279582264,-59409.07556541683,8.687068341020618,102.91928802565094,195.99492960000035,200,83.48937606811523,bootstrap
1898,A2_regime_profile,optimal,two_stage,164281.31717235158,175547.39057120908,163960.9314106669,15071.242125934446,1.6453884701872783,107.61118261264488,200.0,4,0.26628899574279785,regime_profile
1898,A3_bootstrap_weighted,optimal,two_stage,183591.8652594479,154964.3251778661,183070.66114454338,-24805.160296195194,3.7221418211800903,102.42342998254173,180.00000000000017,200,88.1460599899292,bootstrap_weighted
1898,A4_regime_mean_K,optimal,two_stage,164696.12261883522,192118.91192626912,179135.25021206692,16464.445947194465,2.895388470187278,107.09520990898646,200.0,200,78.63951516151428,regime_mean_K
1898,A5_bootstrap_RT_only,optimal,rt_only,168162.0300535841,109487.06369035521,0.0,112923.40504378622,-0.4379448631460532,117.71837549566337,200.0,200,0.02979421615600586,bootstrap
1898,A6_profile_RT_only,optimal,rt_only,169703.89860267023,131646.23171919465,0.0,135082.57307262567,-0.4379448631460517,117.71837549566337,200.0,4,0.02704787254333496,regime_profile
1899,A1_bootstrap_uniform,optimal,two_stage,157224.9820632835,183930.50697112893,178294.15229019156,7996.143796358742,1.079251241212895,79.43899374568944,180.0000000000002,200,103.62508392333984,bootstrap
1899,A2_regime_profile,optimal,two_stage,154278.49211334702,143518.70238015207,173441.21762759198,-26999.155009224953,5.309595826771726,95.94745462045145,180.0,7,0.417600154876709,regime_profile
1899,A3_bootstrap_weighted,optimal,two_stage,157315.15465021707,151407.69241092724,177563.20751554516,-23405.447701730645,5.0164601625228515,91.74731151906721,180.00000000000048,200,84.00177311897278,bootstrap_weighted
