checkpoint,day,date,naive_rev,daily_rev,naive_da,naive_rt,daily_da,daily_rt,daily_segments,compliant,da_mean,rt_mean,forecast_total_mwh,actual_total_mwh
210,230,2022-12-17,233627.85713934776,254066.76685069563,399113.58621392783,-165485.72907458007,179436.54065684864,74630.22619384699,3,True,502.1143229166667,529.3816145833333,823.1675631618368,541.3974431812271
210,231,2022-12-18,270573.56221078755,251744.75931731708,338788.6446237692,-68215.08241298168,164453.96071033314,87290.79860698394,3,True,464.8942708333334,463.20364583333327,805.9838615948886,694.7241835203517
210,232,2022-12-19,341567.51502034976,316646.6591927851,216243.1996959132,125324.31532443654,49366.925,267279.7341927851,5,True,317.14234375,287.80296875,742.0304040893105,1161.3040366579535
210,233,2022-12-20,253043.40017290102,267371.5762174884,170449.9973028499,82593.40287005113,129082.96252363341,138288.613693855,4,True,247.74338541666665,310.7816145833333,730.0902887447053,1080.2960732978734
210,234,2022-12-21,310061.1400587149,325600.68732148746,261915.95796729295,48145.18209142194,247461.07371580577,78139.61360568169,4,True,393.7848958333334,404.0808333333334,762.4809916528516,919.3231905069969
210,235,2022-12-22,238813.06044660188,229099.51885095384,377126.2031055568,-138313.1426589549,278753.123851963,-49653.6050010092,3,True,512.9358333333333,503.06906250000003,776.2148119752857,513.6293932927081
210,236,2022-12-23,173538.17592171865,173464.9224773281,398406.0172962319,-224867.84137451323,261925.5491103773,-88460.6266330492,3,True,525.5481770833334,517.8025,796.7253194892343,380.79094078675143
210,237,2022-12-24,287984.8183115054,261014.4939999387,262323.5979952641,25661.220316241306,119320.44769389258,141694.04630604613,3,True,388.121875,325.59239583333334,752.4469080282412,918.5340067860269
210,238,2022-12-25,169590.85583495448,233307.349286823,326082.81229492766,-156491.95645997318,166582.69431639928,66724.65497042371,3,True,422.6919270833334,501.49255208333335,817.4815391394322,531.3855523126815
210,239,2022-12-26,165744.02911729005,205561.6444390142,393179.3097950285,-227435.28067773842,180434.5388615359,25127.105577478294,3,True,520.4022395833334,584.84859375,791.4127687075049,405.46435645983377
240,240,2022-12-27,159644.23238538613,160615.44564184718,331716.7183923125,-172072.4860069264,330045.51372404426,-169430.06808219707,3,True,500.3433854166667,551.6027083333333,695.9194366692893,391.0563572762462
240,241,2022-12-28,159267.23621499323,172439.75881827524,278955.5340293417,-119688.29781434848,196723.84643827303,-24284.087619997794,3,True,516.1907291666668,559.3007291666667,579.3734557318496,371.20575149895166
240,242,2022-12-29,243121.3084041723,242365.56581266833,238946.8581177332,4174.450286439095,160995.08956326894,81370.47624939939,3,True,515.7328125,527.4496875,497.9597327663307,532.0875352864032
240,243,2022-12-30,195634.28892205894,196604.73186086278,248567.69248662842,-52933.40356456948,173654.74049618925,22949.991364673533,3,True,543.2172395833334,596.5602604166667,497.88082370674647,412.5969165869972
240,244,2022-12-31,242245.92343386216,243704.47942321846,252699.40922426377,-10453.485790401599,182143.99851445798,61560.480908760495,3,True,564.4177604166666,578.7501041666666,494.37374043854766,482.07093681220096
240,245,2023-01-01,178273.9570484405,178273.9570484405,226553.43182641975,-48279.47477797925,226553.43182641975,-48279.47477797925,3,True,578.9322916666666,604.4986458333333,431.96975730457115,347.6322383941733
240,246,2023-01-02,153632.77149932773,155862.18342685097,192286.642324511,-38653.870825183265,170535.49113481818,-14673.307707967204,3,True,547.3105729166667,579.4028645833333,420.730780519636,364.1035730133941
240,247,2023-01-03,188533.27299106942,188533.27299106942,201151.3919978877,-12618.119006818277,201151.3919978877,-12618.119006818277,3,True,547.9701562500001,585.4391145833333,421.3317402919243,403.74893873070255
