day,quarter,actual_regime,pred_regime,correct,rev_hard,rev_soft,rev_stoch,rev_perfect,rev_oracle
1740,Q2,11,0,False,89675.19536135974,92209.72934667974,107910.71761091976,110685.4852033599,153285.65026902076
1741,Q2,8,9,False,61318.82300884999,63886.67645559993,61524.22300885,75562.48607889989,100006.50683980182
1742,Q2,11,9,False,47473.91765140002,71884.81461093997,58802.3441266,99393.51607677992,128202.12470899124
1743,Q2,11,0,False,204037.73438901978,193218.60000000003,199391.20000000004,208960.43229526991,263541.8035209
1744,Q2,11,9,False,171298.5010497301,170269.50104973005,163533.01507958001,190036.92709741998,224080.29039015493
1745,Q2,9,11,False,143861.9251380799,172331.03108606007,170028.62766354004,176154.19455424006,240779.14977368282
1746,Q2,11,9,False,112481.87657915002,113359.27944929998,135661.0,152319.85521652992,185978.41274467658
1747,Q2,9,9,True,64525.569520580015,64629.96952058002,58155.302510279995,64525.569520580015,128685.43773532202
1748,Q2,0,9,False,153968.82695997,154298.80423446,162472.95336656005,148445.55432655985,231901.66875817435
1749,Q2,9,0,False,147067.47127571976,148382.8110374398,131306.4423479798,156591.47516513,217415.47446456066
1750,Q2,11,9,False,91766.21788384003,93036.37553146994,81327.21788384003,122900.3905036299,170632.70728736164
1751,Q2,8,9,False,59538.74980828996,59045.176753879976,58329.97299223983,72327.88543292985,119651.93510342682
1752,Q2,9,0,False,127653.47716331977,131235.1002512798,122960.65407535984,129680.81239842,179391.97650190786
1753,Q2,0,0,True,74451.23322933978,81007.79040250978,84406.00000000006,74451.23322933978,122054.81659930431
1754,Q2,0,0,True,69137.87885823977,73640.14094335976,65793.18474239996,69137.87885823977,113962.37675638241
1755,Q2,0,0,True,57858.25767181962,60772.58302822963,77351.81266155974,57858.25767181962,169474.45753047927
1756,Q2,8,8,True,91359.56696518997,91828.65815136993,68067.93758578981,91359.56696518997,130912.76587553497
1757,Q2,9,0,False,83080.55749337976,87300.95749337978,88177.55634289981,83596.0754926,126273.75253378304
1758,Q2,0,9,False,65034.18698806998,64850.73780979996,71656.72883711997,58942.58608391978,130453.31236582417
1759,Q2,9,0,False,198745.38630693973,212538.19108648985,197299.99999999994,206216.12591491992,254999.79578712463
1760,Q2,11,8,False,78169.6681520999,102297.63734059989,98125.91117829988,114943.94742497992,141277.42785717297
1761,Q2,0,0,True,55517.48621773973,58485.91499143977,59275.03239724974,55517.48621773973,142052.72812490416
1762,Q2,8,11,False,78462.05788485991,98641.4537349199,93461.33610771986,102171.32437633988,130835.89817008536
1763,Q2,8,9,False,48443.93143254,48777.8371516999,43418.05963263998,63598.340640779905,92887.96134588384
1764,Q2,4,0,False,6771.520428239817,12293.999999999982,43408.189791599885,58581.79999999999,131018.86365266153
1765,Q2,11,9,False,186693.54953105998,187807.54953106,180947.54953105995,188519.41136177996,250410.50061860002
1766,Q2,9,9,True,175006.29897975002,166544.71607776,174150.83420606717,175006.29897975002,213102.887281754
1767,Q2,1,9,False,42062.63368483998,36196.99999999998,49449.211539919874,63633.99999999998,109405.01078193316
1768,Q2,8,0,False,107180.45486179976,38407.99999999998,37995.79999999996,116436.97300929988,149007.119176452
1769,Q2,1,1,True,123321.59999999995,54342.08651279991,76312.2,123321.59999999995,175933.0407029409
1770,Q2,11,9,False,77092.62710856998,98691.79999999999,114264.37211508997,111848.87270283992,152137.68042350584
1771,Q2,11,9,False,166792.36270680997,199940.4196392299,179287.84533537982,199633.7613480899,243908.34831030856
1772,Q2,7,8,False,-101275.69818744008,-101891.3490631201,-82091.36952440007,223849.6000000001,264207.0740784204
1773,Q2,11,6,False,102588.40000000002,111976.00000000001,107795.80000000002,165325.16470652993,215716.6076572354
1774,Q2,9,11,False,141547.5861910099,164467.07845896,141558.0,165452.95002634,196665.19117799093
1775,Q2,1,9,False,45369.32747744002,55709.40000000003,44115.800000000025,54452.999999999985,84345.37565118584
1776,Q2,1,5,False,13668.99999999997,11111.199999999963,14204.400000000012,48537.60000000003,86427.33665968166
1777,Q2,11,5,False,154033.60000000012,157127.20000000007,163002.65635466005,158707.62568242996,204269.1121507644
1778,Q2,11,11,True,180982.88808294997,193686.76371847003,190507.74324673004,180982.88808294997,216777.41737980003
1779,Q2,0,9,False,101355.96395989,96991.29544771,99476.95744979999,128575.9034344998,187619.79231006565
1780,Q2,1,7,False,26578.399999999983,-53079.99999999998,-118415.39999999994,71989.80000000003,239257.72823805184
1781,Q2,9,0,False,176259.14317579984,175758.60187449981,189742.52749142004,173564.67164359,219307.7746934669
1782,Q2,9,9,True,198590.40820620005,194358.84229820006,198057.93369860007,198590.40820620005,223992.39982
1783,Q2,7,1,False,40410.60000000002,38690.799999999996,25975.000000000044,43772.00000000002,70275.40305900706
1784,Q2,11,5,False,183989.59999999998,206237.99999999997,202759.39999999997,238098.5754380398,279838.08156450005
1785,Q2,9,9,True,156451.44954740003,141896.28936204992,154550.64809848,156451.44954740003,247601.3567453568
